Model,Accuracy,Recall,Precision,F1-Score
RF,0.99875,0.42857142857142855,0.75,0.5454545454545454
DT,0.9985,0.5714285714285714,0.5714285714285714,0.5714285714285714
LR,0.99825,0.14285714285714285,0.5,0.2222222222222222
NB,0.9865,0.7142857142857143,0.08771929824561403,0.15625
ANN,0.99825,0.0,0.0,0.0
