Model,Accuracy,Recall,Precision,F1-Score
RF,0.99875,0.42857142857142855,0.75,0.5454545454545454
DT,0.99875,0.5714285714285714,0.6666666666666666,0.6153846153846154
LR,0.9985,0.14285714285714285,1.0,0.25
NB,0.981,0.5714285714285714,0.05194805194805195,0.09523809523809523
ANN,0.99825,0.0,0.0,0.0
