Model,Accuracy,Recall,Precision,F1-Score
RF,0.9996137776061234,0.8163265306122449,0.9523809523809523,0.8791208791208791
DT,0.9989993328885924,0.7244897959183674,0.7029702970297029,0.7135678391959799
LR,0.9988062216916541,0.4489795918367347,0.7586206896551724,0.5641025641025641
NB,0.980636213616095,0.8469387755102041,0.07087959009393681,0.13081166272655634
ANN,0.9990168884519505,0.5510204081632653,0.8181818181818182,0.6585365853658537
