Model,Accuracy,Recall,Precision,F1-Score
RF,0.9995611109160493,0.8061224489795918,0.9294117647058824,0.8633879781420765
DT,0.9991222218320986,0.7448979591836735,0.7448979591836735,0.7448979591836735
LR,0.9988764439450862,0.47959183673469385,0.7833333333333333,0.5949367088607594
NB,0.9764053228468101,0.8469387755102041,0.058781869688385266,0.10993377483443709
ANN,0.9990519995786665,0.5918367346938775,0.8055555555555556,0.6823529411764706
