Model,Accuracy,Recall,Precision,F1-Score
RF,0.9994557775359011,0.7755102040816326,0.8941176470588236,0.8306010928961749
DT,0.9988588883817282,0.6836734693877551,0.6633663366336634,0.6733668341708543
LR,0.9986833327481479,0.32653061224489793,0.7804878048780488,0.460431654676259
NB,0.9777395456620203,0.7857142857142857,0.0581570996978852,0.10829817158931083
ANN,0.9989291106351603,0.5102040816326531,0.7936507936507936,0.6211180124223602
