Model,Accuracy,Recall,Precision,F1-Score
RF,0.9995786664794073,0.8061224489795918,0.9404761904761905,0.8681318681318682
DT,0.9992451107756047,0.826530612244898,0.7570093457943925,0.7902439024390244
LR,0.9989115550718023,0.5102040816326531,0.78125,0.6172839506172839
NB,0.9823566588251817,0.8775510204081632,0.07970342910101946,0.14613423959218352
ANN,0.9990695551420246,0.6326530612244898,0.7848101265822784,0.7005649717514124
