Model,Accuracy,Recall,Precision,F1-Score
RF,0.9995786664794073,0.8061224489795918,0.9404761904761905,0.8681318681318682
DT,0.9989993328885924,0.6938775510204082,0.7157894736842105,0.7046632124352331
LR,0.9987711105649381,0.41836734693877553,0.7592592592592593,0.5394736842105263
NB,0.9767213229872547,0.8673469387755102,0.060801144492131615,0.11363636363636363
ANN,0.9992099996488887,0.7040816326530612,0.8117647058823529,0.7540983606557377
